feature,importance
budget_million,0.6300209963456689
review_sentiment,0.16185860708893116
star_power,0.05659390577802512
runtime_min,0.020937937359146546
social_media_buzz,0.020875494267724243
marketing_spend_million,0.020673028424053528
review_volume,0.020368159887736548
critic_rating,0.020194949001279595
audience_rating,0.019532451514071087
release_year,0.016691039394499178
genre_Thriller,0.0018271200748928994
genre_Action,0.0016521081648574847
genre_Drama,0.0016483625423089148
genre_Sci-Fi,0.0015718728360108155
genre_Romance,0.001509142678360293
genre_Horror,0.0014069904533334174
genre_Adventure,0.0013759711689026975
genre_Comedy,0.0012618630201975663
